X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
0, 4, 0.5, 2.88467, 8.854, 5.75752
0, 4.25, 0.5, 3.02846, 8.53822, 5.44344
0, 4.5, 0.5, 3.11102, 7.99323, 5.2855
0, 4.75, 0.5, 3.10647, 7.20492, 5.28531
0, 5, 0.5, 3.18589, 6.59265, 5.127
0, 6.5, 0.5, 2.48961, 1.4174, 6.76241
0, 8, 0.5, 2.29929, -2.13989, 7.40703
0.25, 4, 0.5, 2.47012, 10.1088, 6.32885
0.25, 4.25, 0.5, 2.56291, 9.63422, 6.06981
0.25, 4.5, 0.5, 2.68496, 9.19803, 5.75739
0.25, 4.75, 0.5, 2.79738, 8.65071, 5.49585
0.25, 5, 0.5, 2.56492, 7.07687, 6.06916
0.25, 5.25, 0.5, 2.67928, 6.49931, 5.7576
0.25, 5.5, 0.5, 2.78781, 5.8333, 5.49594
0.25, 6.25, 0.5, 2.12661, 2.32318, 7.43452
0.5, 4.25, 0.5, 2.05831, 11.6061, 7.10047
0.5, 4.5, 0.5, 1.90331, 9.78043, 7.71287
0.5, 4.75, 0.5, 1.8963, 8.79628, 7.74741
0.5, 5, 0.5, 2.37259, 9.81934, 6.06984
0.5, 5.25, 0.5, 2.50493, 9.11457, 5.70534
0.5, 5.5, 0.5, 2.20167, 6.91027, 6.58688
0.5, 5.75, 0.5, 2.33459, 6.16016, 6.17369
0.5, 6, 0.5, 2.25355, 4.81956, 6.42886
0.5, 7, 0.5, 2.39231, 0.331698, 5.99005
0.5, 8, 0.5, 3.27141, -6.08923, 4.16129
0.75, 5, 0.5, 1.30258, 10.7818, 10.346
0.75, 5.25, 0.5, 1.74354, 12.6883, 7.76368
0.75, 5.5, 0.5, 1.86883, 11.7312, 7.20286
0.75, 5.75, 0.5, 1.68128, 8.87264, 8.06846
0.75, 6, 0.5, 1.67254, 7.15397, 8.11508
0.75, 6.25, 0.5, 1.96869, 6.452, 6.79256
0.75, 6.5, 0.5, 1.84518, 4.20203, 7.27631
0.75, 7.5, 0.5, 2.49743, -4.30231, 5.18001
0.75, 7.75, 0.5, 2.5244, -6.87316, 5.127
0.75, 8, 0.5, 2.37288, -8.83353, 5.49588
1.25, 5.5, 0.5, 1.31026, -8.22492, 8.57476
1.25, 5.75, 0.5, 1.12923, -5.9593, 10.0339
1.25, 6, 0.5, 1.40472, -6.00839, 7.96701
1.25, 6.25, 0.5, 2.22337, -7.28666, 4.75482
1.25, 6.5, 0.5, 2.03215, -4.62782, 5.28556
1.25, 7.75, 0.5, 1.85832, 5.05963, 5.85058
1.25, 8, 0.5, 1.66204, 6.18727, 6.62993
1.5, 5.5, 0.5, 1.67077, -5.24398, 5.80983
1.5, 5.75, 0.5, 1.8026, -4.75645, 5.33798
1.5, 6, 0.5, 1.88395, -4.02912, 5.0524
1.5, 6.25, 0.5, 2.11004, -3.45762, 4.4259
1.5, 7.5, 0.5, 1.72954, 1.48974, 5.59991
1.75, 5.5, 0.5, 1.81115, -3.78971, 4.54047
1.75, 5.75, 0.5, 1.91755, -3.37316, 4.25714
1.75, 6, 0.5, 1.30992, -1.86765, 6.63775
2, 5.5, 0.5, 1.8091, -2.83907, 3.79545
2.25, 8, 0.5, 1.05424, 0.784926, 5.91642
2.5, 4.75, 0.5, -0.817199, 1.26357, 8.53241
2.5, 5.75, 0.5, -1.02496, 0.901501, 7.73828
2.5, 6.5, 0.5, -1.1946, 0.453411, 7.24582
2.5, 6.75, 0.5, -1.23312, 0.262512, 7.14942
2.5, 7, 0.5, -1.25063, 0.0578006, 7.09956
2.5, 7.25, 0.5, -1.25138, -0.150728, 7.14756
2.5, 7.5, 0.5, -1.21959, -0.350165, 7.19543
2.5, 7.75, 0.5, -1.16412, -0.528256, 7.2493
2.5, 8, 0.5, -1.10849, -0.687759, 7.39535
2.75, 3.5, 0.5, -1.33053, 2.71377, 6.07496
2.75, 3.75, 0.5, -1.37231, 2.60294, 5.86782
2.75, 4, 0.5, -1.489, 2.61156, 5.34471
2.75, 4.25, 0.5, -0.998524, 1.60867, 8.17955
2.75, 4.5, 0.5, -0.922856, 1.35492, 9.29102
2.75, 4.75, 0.5, -0.955364, 1.26617, 8.98956
2.75, 5, 0.5, -0.995522, 1.17718, 8.73992
2.75, 5.25, 0.5, -1.03225, 1.07314, 8.44133
2.75, 5.5, 0.5, -1.07561, 0.964566, 8.19042
2.75, 6.25, 0.5, -1.22027, 0.571314, 7.63842
2.75, 6.5, 0.5, -1.25702, 0.408946, 7.49376
2.75, 6.75, 0.5, -1.29115, 0.235599, 7.44046
2.75, 7, 0.5, -1.31113, 0.0519401, 7.43868
2.75, 7.25, 0.5, -1.30534, -0.134766, 7.43938
2.75, 7.5, 0.5, -1.28311, -0.315772, 7.49105
2.75, 7.75, 0.5, -1.2477, -0.4853, 7.58947
2.75, 8, 0.5, -1.19796, -0.637094, 7.69198
3, 0.75, 0.5, -1.10288, 3.48474, 8.6279
3, 1, 0.5, -1.12149, 3.40334, 8.47692
3, 1.25, 0.5, -1.13412, 3.2999, 8.37531
3, 1.5, 0.5, -1.38614, 3.85992, 6.7454
3, 1.75, 0.5, -1.36713, 3.63611, 6.84762
3, 2, 0.5, -1.43576, 3.63917, 6.4879
3, 2.25, 0.5, -1.4156, 3.41112, 6.59126
3, 2.5, 0.5, -1.50003, 3.42707, 6.17916
3, 2.75, 0.5, -0.877564, 1.89524, 10.8883
3, 3, 0.5, -1.11898, 2.27676, 8.43173
3, 3.25, 0.5, -1.09894, 2.0986, 8.58229
3, 3.5, 0.5, -1.17565, 2.09814, 7.97685
3, 3.75, 0.5, -1.21122, 2.01022, 7.72416
3, 4, 0.5, -1.07325, 1.64707, 8.78388
3, 4.25, 0.5, -0.999126, 1.40843, 9.78677
3, 4.5, 0.5, -1.02857, 1.32137, 9.49025
3, 4.75, 0.5, -1.05888, 1.22794, 9.18949
3, 5, 0.5, -1.10185, 1.14004, 8.9857
3, 5.25, 0.5, -1.1336, 1.03119, 8.68754
3, 6.25, 0.5, -1.29562, 0.530769, 7.93521
3, 6.5, 0.5, -1.32908, 0.378338, 7.83393
3, 6.75, 0.5, -1.34833, 0.215279, 7.74058
3, 7, 0.5, -1.35565, 0.0469907, 7.68984
3, 7.25, 0.5, -1.35881, -0.122751, 7.73452
3, 7.5, 0.5, -1.34275, -0.289144, 7.78661
3, 7.75, 0.5, -1.31687, -0.448181, 7.88595
3, 8, 0.5, -1.27787, -0.594639, 7.98803
3.25, 0, 0.5, -1.36082, 4.27558, 7.81996
3.25, 0.25, 0.5, -1.48827, 4.51066, 7.10495
3.25, 0.5, 0.5, -1.42113, 4.14929, 7.46379
3.25, 0.75, 0.5, -1.19695, 3.36173, 8.93587
3.25, 1, 0.5, -1.20334, 3.24598, 8.88501
3.25, 1.25, 0.5, -1.23633, 3.19761, 8.63315
3.25, 1.5, 0.5, -1.29375, 3.20236, 8.22887
3.25, 1.75, 0.5, -1.22812, 2.90344, 8.68351
3.25, 2, 0.5, -1.24914, 2.81436, 8.53186
3.25, 2.25, 0.5, -1.26322, 2.70572, 8.43144
3.25, 2.5, 0.5, -1.27568, 2.59066, 8.32986
3.25, 2.75, 0.5, -1.27575, 2.44905, 8.32976
3.25, 3, 0.5, -1.25207, 2.26448, 8.48131
3.25, 3.25, 0.5, -1.28792, 2.18622, 8.22901
3.25, 3.5, 0.5, -1.31793, 2.09072, 8.02652
3.25, 3.75, 0.5, -1.02899, 1.51803, 10.3946
3.25, 4, 0.5, -1.05807, 1.44336, 10.1436
3.25, 4.25, 0.5, -1.09385, 1.37063, 9.93853
3.25, 4.5, 0.5, -1.12596, 1.28576, 9.68888
3.25, 4.75, 0.5, -1.1594, 1.19512, 9.43947
3.25, 5, 0.5, -1.18674, 1.09145, 9.14041
3.25, 6, 0.5, -1.33591, 0.634897, 8.3851
3.25, 6.25, 0.5, -1.35693, 0.494119, 8.18665
3.25, 6.5, 0.5, -1.3912, 0.352021, 8.13536
3.25, 6.75, 0.5, -1.4114, 0.20031, 8.08148
3.25, 7, 0.5, -1.41667, 0.0436497, 8.03496
3.25, 7.25, 0.5, -1.4129, -0.113455, 8.03558
3.25, 7.5, 0.5, -1.40042, -0.268055, 8.08316
3.25, 7.75, 0.5, -1.38159, -0.417962, 8.18289
3.25, 8, 0.5, -1.35048, -0.558603, 8.28503
3.5, 0, 0.5, -1.38466, 3.91544, 8.58178
3.5, 0.25, 0.5, -1.38459, 3.77679, 8.58192
3.5, 0.5, 0.5, -1.38313, 3.63448, 8.58172
3.5, 0.75, 0.5, -1.35325, 3.42065, 8.78301
3.5, 1, 0.5, -1.36812, 3.32143, 8.68279
3.5, 1.25, 0.5, -1.36855, 3.18562, 8.68235
3.5, 1.5, 0.5, -1.36068, 3.03122, 8.73312
3.5, 1.75, 0.5, -1.43753, 3.05867, 8.22752
3.5, 2, 0.5, -1.52508, 3.09244, 7.72263
3.5, 2.25, 0.5, -1.51653, 2.92347, 7.77259
3.5, 2.5, 0.5, -1.54387, 2.82177, 7.6213
3.5, 2.75, 0.5, -1.54236, 2.66478, 7.61984
3.5, 3, 0.5, -1.10255, 1.79466, 10.887
3.5, 3.25, 0.5, -1.57119, 2.40036, 7.46729
3.5, 3.5, 0.5, -1.09261, 1.55995, 10.795
3.5, 3.75, 0.5, -1.12371, 1.49198, 10.5907
3.5, 4, 0.5, -1.15178, 1.41408, 10.3403
3.5, 4.25, 0.5, -1.17572, 1.3259, 10.0442
3.5, 4.5, 0.5, -1.21654, 1.25028, 9.88674
3.5, 4.75, 0.5, -1.24636, 1.15629, 9.63808
3.5, 6, 0.5, -1.40081, 0.59917, 8.63722
3.5, 6.25, 0.5, -1.4304, 0.468785, 8.53337
3.5, 6.5, 0.5, -1.45039, 0.330299, 8.43288
3.5, 6.75, 0.5, -1.46691, 0.187369, 8.38356
3.5, 7, 0.5, -1.46921, 0.0407418, 8.33223
3.5, 7.25, 0.5, -1.47484, -0.106586, 8.38277
3.5, 7.5, 0.5, -1.45771, -0.251119, 8.38555
3.5, 7.75, 0.5, -1.44412, -0.393191, 8.48483
3.5, 8, 0.5, -1.41876, -0.528161, 8.58226
3.75, 0, 0.5, -1.38896, 3.57055, 9.48253
3.75, 0.25, 0.5, -1.37534, 3.41051, 9.58245
3.75, 0.5, 0.5, -1.39627, 3.33548, 9.43208
3.75, 0.75, 0.5, -1.38156, 3.17473, 9.533
3.75, 1, 0.5, -1.40275, 3.0959, 9.38251
3.75, 1.25, 0.5, -1.43135, 3.0289, 9.17964
3.75, 1.5, 0.5, -1.41707, 2.86985, 9.28224
3.75, 1.75, 0.5, -1.43886, 2.78319, 9.12982
3.75, 2, 0.5, -1.42402, 2.62502, 9.22964
3.75, 2.25, 0.5, -1.45394, 2.54801, 9.02885
3.75, 2.5, 0.5, -1.48614, 2.46932, 8.8279
3.75, 2.75, 0.5, -1.46954, 2.30815, 8.9283
4, 0, 0.5, -2.25601, 5.31616, 6.17589
4, 0.25, 0.5, -2.23998, 5.09171, 6.22618
4, 0.5, 0.5, -2.25655, 4.94134, 6.1753
4, 0.75, 0.5, -2.23981, 4.71803, 6.22596
4, 1, 0.5, -2.22351, 4.49841, 6.27749
4, 1.25, 0.5, -2.2074, 4.28187, 6.32777
4, 1.5, 0.5, -2.23982, 4.1581, 6.22606
4, 1.75, 0.5, -2.25603, 4.00019, 6.1763
4, 2, 0.5, -2.2235, 3.75722, 6.27699
4, 2.25, 0.5, -2.25656, 3.62503, 6.17558
4, 2.5, 0.5, -2.27274, 3.46163, 6.12475
4, 2.75, 0.5, -1.26584, 1.82253, 11.4334
4, 3, 0.5, -1.29298, 1.75385, 11.183
4, 3.25, 0.5, -1.31418, 1.6731, 10.9878
4, 3.5, 0.5, -1.34295, 1.59781, 10.7378
4, 3.75, 0.5, -1.36636, 1.5118, 10.5371
4, 4, 0.5, -1.33536, 1.36622, 10.8346
4, 4.25, 0.5, -1.36022, 1.2783, 10.5861
4, 5.5, 0.5, -1.51504, 0.792531, 9.69033
4.25, 0, 0.5, -2.82467, 6.14416, 5.23005
4.25, 0.25, 0.5, -2.80121, 5.87766, 5.28094
4.25, 0.5, 0.5, -2.82448, 5.70922, 5.22989
4.25, 0.75, 0.5, -2.82429, 5.49158, 5.23109
4.25, 1, 0.5, -2.82453, 5.27477, 5.22966
4.25, 1.25, 0.5, -2.8241, 5.05673, 5.23069
4.25, 1.5, 0.5, -2.82474, 4.84058, 5.2301
4.25, 1.75, 0.5, -2.82447, 4.62285, 5.22986
4.25, 2, 0.5, -2.82423, 4.40522, 5.23107
4.25, 2.25, 0.5, -1.50558, 2.23258, 10.4297
4.25, 2.5, 0.5, -1.52017, 2.13728, 10.3311
4.25, 2.75, 0.5, -1.54648, 2.05531, 10.1311
4.25, 3, 0.5, -1.51929, 1.9023, 10.3315
4.25, 3.25, 0.5, -1.54747, 1.81855, 10.1313
4.25, 3.5, 0.5, -1.51352, 1.66223, 10.3804
4.25, 3.75, 0.5, -1.53303, 1.56573, 10.2338
4.25, 4, 0.5, -1.56086, 1.47409, 10.0337
4.25, 4.25, 0.5, -1.43898, 1.2483, 10.7941
4.25, 4.5, 0.5, -1.45903, 1.15346, 10.5477
4.25, 4.75, 0.5, -1.49952, 1.07012, 10.4433
4.25, 5, 0.5, -1.5243, 0.970546, 10.2441
4.25, 5.25, 0.5, -1.56079, 0.873721, 10.1375
4.25, 5.5, 0.5, -1.58304, 0.764402, 9.88217
4.25, 5.75, 0.5, -1.66963, 0.677781, 9.28016
4.25, 6, 0.5, -1.68605, 0.554748, 9.18342
4.25, 6.25, 0.5, -1.70104, 0.428833, 9.08239
4.25, 6.5, 0.5, -1.70978, 0.299514, 9.03434
4.25, 6.75, 0.5, -1.6567, 0.162777, 9.38164
4.25, 7, 0.5, -1.65668, 0.0353387, 9.38179
4.25, 7.25, 0.5, -1.65655, -0.0920909, 9.3819
4.25, 7.5, 0.5, -1.64839, -0.218437, 9.43022
4.25, 7.75, 0.5, -1.70946, -0.358026, 9.03385
4.25, 8, 0.5, -1.69267, -0.484715, 9.12985
4.5, 0, 0.5, -3.39979, 6.86692, 4.60943
4.5, 0.25, 0.5, -3.30147, 6.43251, 4.75674
4.5, 0.5, 0.5, -3.30158, 6.19691, 4.75529
4.5, 0.75, 0.5, -3.30118, 5.96035, 4.75648
4.5, 1, 0.5, -3.3018, 5.72563, 4.75573
4.5, 1.25, 0.5, -3.30146, 5.48922, 4.75659
4.5, 1.5, 0.5, -3.30183, 5.25399, 4.75571
4.5, 1.75, 0.5, -3.30161, 5.01781, 4.75534
4.5, 2, 0.5, -1.85904, 2.6926, 9.0168
4.5, 2.25, 0.5, -1.85084, 2.54852, 9.07079
4.5, 2.5, 0.5, -1.85084, 2.41632, 9.07077
4.5, 2.75, 0.5, -1.82619, 2.25369, 9.22048
4.5, 3, 0.5, -1.83404, 2.13238, 9.17243
4.5, 3.25, 0.5, -1.85195, 2.02092, 9.07087
4.5, 3.5, 0.5, -1.8612, 1.89806, 9.02247
4.5, 3.75, 0.5, -1.83403, 1.73935, 9.17247
4.5, 4, 0.5, -1.86959, 1.63954, 8.97543
4.5, 4.25, 0.5, -1.5235, 1.22721, 11.0903
4.5, 4.5, 0.5, -1.54833, 1.13662, 10.89
4.5, 4.75, 0.5, -1.56575, 1.03757, 10.6431
4.5, 5, 0.5, -1.59383, 0.942329, 10.4946
4.5, 5.25, 0.5, -1.61914, 0.84164, 10.343
4.5, 5.5, 0.5, -1.88761, 0.846365, 8.87367
4.5, 5.75, 0.5, -1.8523, 0.698226, 9.07633
4.5, 6, 0.5, -1.85396, 0.566425, 9.07596
4.5, 6.25, 0.5, -1.87072, 0.437922, 8.97519
4.5, 6.5, 0.5, -1.87897, 0.305642, 8.92767
4.5, 6.75, 0.5, -1.8862, 0.172089, 8.87445
4.5, 7, 0.5, -1.88774, 0.0373913, 8.87415
4.5, 7.25, 0.5, -1.88778, -0.0974493, 8.87365
4.5, 7.5, 0.5, -1.88626, -0.232104, 8.87447
4.5, 7.75, 0.5, -1.87865, -0.365357, 8.92719
4.5, 8, 0.5, -1.85999, -0.494585, 9.02285
4.75, 0, 0.5, -3.67679, 6.93131, 4.53884
4.75, 0.25, 0.5, -3.67659, 6.68583, 4.53865
4.75, 0.5, 0.5, -3.67644, 6.44047, 4.54018
4.75, 0.75, 0.5, -3.67618, 6.19493, 4.53985
4.75, 1, 0.5, -3.67622, 5.94991, 4.53968
4.75, 1.25, 0.5, -3.67621, 5.70482, 4.53966
4.75, 1.5, 0.5, -3.67688, 5.46072, 4.53883
4.75, 1.75, 0.5, -2.16669, 3.07342, 8.21957
4.75, 2, 0.5, -2.16577, 2.92774, 8.2203
4.75, 2.25, 0.5, -2.1659, 2.78352, 8.22018
4.75, 2.5, 0.5, -2.14641, 2.61537, 8.31814
4.75, 2.75, 0.5, -2.15863, 2.48636, 8.2704
4.75, 3, 0.5, -2.15774, 2.34148, 8.2715
4.75, 3.25, 0.5, -2.14633, 2.18601, 8.31749
4.75, 3.5, 0.5, -2.14633, 2.04292, 8.31747
4.75, 3.75, 0.5, -2.13498, 1.88978, 8.36415
4.75, 4, 0.5, -1.56821, 1.28356, 11.4885
4.75, 4.25, 0.5, -1.59867, 1.20192, 11.3386
4.75, 4.5, 0.5, -1.62091, 1.11057, 11.139
4.75, 4.75, 0.5, -1.64877, 1.01974, 10.9902
4.75, 5, 0.5, -1.66648, 0.919598, 10.7923
4.75, 5.25, 0.5, -2.14731, 1.04178, 8.31707
4.75, 5.5, 0.5, -2.15874, 0.903404, 8.27052
4.75, 5.75, 0.5, -2.14617, 0.755065, 8.31797
4.75, 6, 0.5, -2.14755, 0.612381, 8.31764
4.75, 6.25, 0.5, -2.15754, 0.471394, 8.27086
4.75, 6.5, 0.5, -2.16566, 0.328791, 8.22004
4.75, 6.75, 0.5, -2.11866, 0.180412, 8.46864
4.75, 7, 0.5, -2.13944, 0.0395517, 8.36941
4.75, 7.25, 0.5, -2.13809, -0.103013, 8.36975
4.75, 7.5, 0.5, -2.17814, -0.250151, 8.17293
4.75, 7.75, 0.5, -2.16705, -0.393348, 8.21969
4.75, 8, 0.5, -2.15754, -0.535458, 8.27087
5, 0, 0.5, -3.88077, 6.85861, 4.56905
5, 0.25, 0.5, -3.95139, 6.73646, 4.51083
5, 0.5, 0.5, -3.96188, 6.50671, 4.47488
5, 0.75, 0.5, -3.99698, 6.31455, 4.42642
5, 1, 0.5, -4.04545, 6.13829, 4.38143
5, 1.25, 0.5, -2.38234, 3.4659, 7.96827
5, 1.5, 0.5, -2.39484, 3.33442, 7.92256
5, 1.75, 0.5, -2.37051, 3.15238, 8.01299
5, 2, 0.5, -2.39505, 3.03532, 7.92289
5, 2.25, 0.5, -2.38217, 2.87011, 7.96776
5, 2.5, 0.5, -2.38302, 2.7222, 7.96708
5, 2.75, 0.5, -2.38212, 2.57228, 7.96826
5, 3, 0.5, -2.38224, 2.42353, 7.96825
5, 3.25, 0.5, -2.382, 2.27441, 7.96779
5, 3.5, 0.5, -2.39596, 2.13799, 7.92232
5, 3.75, 0.5, -1.60707, 1.3336, 11.8404
5, 4, 0.5, -1.63625, 1.25555, 11.6901
5, 4.25, 0.5, -1.67066, 1.17753, 11.5872
5, 4.5, 0.5, -1.69027, 1.08572, 11.3887
5, 4.75, 0.5, -1.71529, 0.994581, 11.2405
5, 5, 0.5, -1.73723, 0.898726, 11.0883
5, 5.25, 0.5, -2.38335, 1.08402, 7.96769
5, 5.5, 0.5, -2.3692, 0.929511, 8.01313
5, 5.75, 0.5, -2.38315, 0.786039, 7.96783
5, 6, 0.5, -2.36951, 0.633445, 8.01351
5, 6.25, 0.5, -2.3819, 0.487888, 7.96766
5, 6.5, 0.5, -2.39142, 0.340375, 7.91848
5, 6.75, 0.5, -2.39021, 0.190814, 7.91837
5, 7, 0.5, -2.40307, 0.0416488, 7.87383
5, 7.25, 0.5, -2.4031, -0.108544, 7.87382
5, 7.5, 0.5, -2.39147, -0.257486, 7.91794
5, 7.75, 0.5, -2.39169, -0.40699, 7.91847
5, 8, 0.5, -2.38326, -0.55451, 7.96774
5.25, 0, 0.5, -4.08832, 6.80039, 4.60213
5.25, 0.25, 0.5, -4.12244, 6.61464, 4.55592
5.25, 0.5, 0.5, -4.20515, 6.5, 4.47059
5.25, 0.75, 0.5, -4.24415, 6.31062, 4.41541
5.25, 1, 0.5, -2.59257, 3.70239, 7.7703
5.25, 1.25, 0.5, -2.57448, 3.52512, 7.81119
5.25, 1.5, 0.5, -2.57374, 3.3727, 7.81186
5.25, 1.75, 0.5, -2.57371, 3.22127, 7.81189
5.25, 2, 0.5, -2.57457, 3.07091, 7.81116
5.25, 2.25, 0.5, -2.57361, 2.91837, 7.81184
5.25, 2.5, 0.5, -2.5735, 2.76686, 7.81133
5.25, 2.75, 0.5, -2.58809, 2.63031, 7.76712
5.25, 3, 0.5, -2.5881, 2.47808, 7.76657
5.25, 3.25, 0.5, -2.57454, 2.31365, 7.81133
5.25, 3.5, 0.5, -1.68006, 1.41099, 12.04
5.25, 3.75, 0.5, -1.69958, 1.32741, 11.8919
5.25, 4, 0.5, -1.70082, 1.22833, 11.8922
5.25, 4.25, 0.5, -1.73178, 1.14881, 11.7855
5.25, 4.5, 0.5, -1.76501, 1.06703, 11.3932
5.25, 4.75, 0.5, -1.76573, 0.963602, 11.3925
5.25, 5, 0.5, -2.56506, 1.24893, 7.85941
5.25, 5.25, 0.5, -2.56624, 1.09855, 7.85838
5.25, 5.5, 0.5, -2.58697, 0.955248, 7.76765
5.25, 5.75, 0.5, -2.56487, 0.796213, 7.85889
5.25, 6, 0.5, -2.57985, 0.649106, 7.81394
5.25, 6.25, 0.5, -2.57984, 0.497348, 7.81454
5.25, 6.5, 0.5, -2.57994, 0.345606, 7.81458
5.25, 6.75, 0.5, -2.57854, 0.19374, 7.81495
5.25, 7, 0.5, -2.56493, 0.0418391, 7.85892
5.25, 7.25, 0.5, -2.5799, -0.109676, 7.81454
5.25, 7.5, 0.5, -2.58679, -0.262133, 7.76718
5.25, 7.75, 0.5, -2.565, -0.410807, 7.85882
5.25, 8, 0.5, -2.57408, -0.563678, 7.81095
5.5, 0, 0.5, -4.30934, 6.76981, 4.63337
5.5, 0.25, 0.5, -4.36385, 6.61301, 4.57585
5.5, 0.5, 0.5, -2.76393, 4.03493, 7.71274
5.5, 0.75, 0.5, -2.76317, 3.88031, 7.71342
5.5, 1, 0.5, -2.76399, 3.7279, 7.71273
5.5, 1.25, 0.5, -2.76363, 3.57388, 7.71313
5.5, 1.5, 0.5, -2.76313, 3.41973, 7.71366
5.5, 1.75, 0.5, -2.76305, 3.26612, 7.71303
5.5, 2, 0.5, -2.76377, 3.11344, 7.71242
5.5, 2.25, 0.5, -2.76407, 2.96022, 7.71284
5.5, 2.5, 0.5, -2.74377, 2.78604, 7.75397
5.5, 2.75, 0.5, -2.76309, 2.65215, 7.71351
5.5, 3, 0.5, -2.76391, 2.49939, 7.71237
5.5, 3.25, 0.5, -3.23976, 2.74971, 6.64089
5.5, 3.5, 0.5, -3.23961, 2.5696, 6.65106
5.5, 3.75, 0.5, -3.24001, 2.38992, 6.68326
5.5, 4, 0.5, -3.2402, 2.21005, 6.68607
5.5, 4.25, 0.5, -3.23963, 2.02968, 6.69515
5.5, 4.5, 0.5, -3.23974, 1.84976, 6.6965
5.5, 4.75, 0.5, -3.24062, 1.67023, 6.70162
5.5, 5, 0.5, -2.7641, 1.27107, 7.71306
5.5, 5.25, 0.5, -2.74973, 1.1117, 7.75637
5.5, 5.5, 0.5, -2.7628, 0.963497, 7.71294
5.5, 5.75, 0.5, -2.76409, 0.810387, 7.71307
5.5, 6, 0.5, -2.76432, 0.65688, 7.71296
5.5, 6.25, 0.5, -2.76266, 0.503005, 7.71306
5.5, 6.5, 0.5, -2.76331, 0.349605, 7.71281
5.5, 6.75, 0.5, -2.76415, 0.196148, 7.7125
5.5, 7, 0.5, -2.77861, 0.0428066, 7.66919
5.5, 7.25, 0.5, -2.76411, -0.110978, 7.7125
5.5, 7.5, 0.5, -2.76285, -0.264419, 7.71297
5.5, 7.75, 0.5, -2.77731, -0.420099, 7.66973
5.5, 8, 0.5, -2.76269, -0.57137, 7.71296
5.75, 0, 0.5, -4.5154, 6.72018, 4.67597
5.75, 0.25, 0.5, -2.93165, 4.20882, 7.66245
5.75, 0.5, 0.5, -2.93157, 4.05441, 7.66187
5.75, 0.75, 0.5, -2.93223, 3.901, 7.66113
5.75, 1, 0.5, -2.93163, 3.7459, 7.66248
5.75, 1.25, 0.5, -2.93239, 3.59254, 7.66163
5.75, 1.5, 0.5, -2.94747, 3.45588, 7.61883
5.75, 1.75, 0.5, -2.93157, 3.28294, 7.66241
5.75, 2, 0.5, -2.94749, 3.14564, 7.61887
5.75, 2.25, 0.5, -2.94667, 2.98968, 7.62014
5.75, 2.5, 0.5, -2.93154, 2.82004, 7.66237
5.75, 2.75, 0.5, -2.93173, 2.66591, 7.66197
5.75, 4.75, 0.5, -2.91776, 1.42468, 7.70405
5.75, 5, 0.5, -2.94635, 1.28357, 7.61961
5.75, 5.25, 0.5, -2.94771, 1.12902, 7.61958
5.75, 5.5, 0.5, -2.94749, 0.973805, 7.61905
5.75, 5.75, 0.5, -2.94658, 0.81842, 7.62007
5.75, 6, 0.5, -2.93118, 0.659871, 7.66183
5.75, 6.25, 0.5, -2.93256, 0.505836, 7.66127
5.75, 6.5, 0.5, -2.91624, 0.349535, 7.70422
5.75, 6.75, 0.5, -2.94759, 0.198156, 7.61911
5.75, 7, 0.5, -2.93148, 0.0427848, 7.66219
5.75, 7.25, 0.5, -2.93242, -0.111539, 7.66128
5.75, 7.5, 0.5, -2.93238, -0.265874, 7.6613
5.75, 7.75, 0.5, -2.93132, -0.420057, 7.66226
5.75, 8, 0.5, -2.93133, -0.574339, 7.6617
6, 0, 0.5, -3.10493, 4.38995, 7.6184
6, 0.25, 0.5, -3.10547, 4.23544, 7.61706
6, 0.5, 0.5, -3.09013, 4.06001, 7.65883
6, 0.75, 0.5, -3.08928, 3.90444, 7.65981
6, 1, 0.5, -3.10468, 3.76867, 7.61791
6, 1.25, 0.5, -3.10569, 3.6146, 7.61754
6, 1.5, 0.5, -3.08909, 3.44083, 7.65943
6, 1.75, 0.5, -3.08935, 3.28665, 7.65964
6, 2, 0.5, -3.10576, 3.14883, 7.61756
6, 2.25, 0.5, -3.10472, 2.99253, 7.61771
6, 2.5, 0.5, -3.09008, 2.82391, 7.65901
6, 2.75, 0.5, -1.80063, 1.55551, 13.4752
6, 3, 0.5, -1.91072, 1.55506, 12.6799
6, 3.25, 0.5, -1.93099, 1.47501, 12.5326
6, 3.5, 0.5, -1.95422, 1.39505, 12.38
6, 3.75, 0.5, -1.97551, 1.31148, 12.2333
6, 4, 0.5, -1.91247, 1.174, 12.7267
6, 4.25, 0.5, -2.02363, 1.14105, 11.9332
6, 4.5, 0.5, -1.94924, 1.00165, 12.4288
6, 4.75, 0.5, -3.10453, 1.44008, 7.61774
6, 5, 0.5, -3.106, 1.28546, 7.61761
6, 5.25, 0.5, -3.10484, 1.12974, 7.61807
6, 5.5, 0.5, -3.10465, 0.974443, 7.61817
6, 5.75, 0.5, -3.08917, 0.815126, 7.65952
6, 6, 0.5, -3.08899, 0.660627, 7.65962
6, 6.25, 0.5, -3.10588, 0.508946, 7.61767
6, 6.5, 0.5, -3.0902, 0.351866, 7.65852
6, 6.75, 0.5, -3.09021, 0.197357, 7.6586
6, 7, 0.5, -3.09028, 0.0428473, 7.65857
6, 7.25, 0.5, -3.10465, -0.112186, 7.6181
6, 7.5, 0.5, -3.0901, -0.266165, 7.65858
6, 7.75, 0.5, -3.089, -0.42052, 7.65912
